AnswerID,QuestionaireID,EnteredBy,lock
30,5,sa,0
32,4,sa,0
33,3,sa,0
35,4,sa,0
41,3,sa,0
111,3,sa,0
42,3,sa,0
44,3,sa,0
46,3,sa,0
26,5,sa,0
28,5,sa,0
48,3,sa,0
50,3,sa,0
52,3,sa,0
54,3,sa,0
56,3,sa,0
58,3,sa,0
60,3,sa,0
62,3,sa,0
64,3,sa,0
67,3,sa,0
68,3,sa,0
70,3,sa,0
72,3,sa,0
74,3,sa,0
76,3,sa,0
78,3,sa,0
80,3,sa,0
82,3,sa,0
84,3,sa,0
86,3,sa,0
88,3,sa,0
90,3,sa,0
92,3,sa,0
230,3,mobile,0
479,4,mobile,0
98,3,sa,0
100,3,sa,0
481,4,mobile,0
103,3,sa,0
113,3,sa,0
115,3,sa,0
117,3,sa,0
169,4,sa,0
121,3,sa,0
123,3,sa,0
125,3,sa,0
127,3,sa,0
129,3,sa,0
131,3,sa,0
133,3,sa,0
135,3,sa,0
137,3,sa,0
171,4,sa,0
141,3,sa,0
142,3,sa,0
173,3,sa,0
146,3,sa,0
148,3,sa,0
150,3,sa,0
152,3,sa,0
154,3,sa,0
156,3,sa,0
158,3,sa,0
160,3,sa,0
162,3,sa,0
164,3,sa,0
166,3,sa,0
168,3,sa,0
175,3,sa,0
177,3,sa,0
179,3,sa,0
181,3,sa,0
183,3,sa,0
185,3,sa,0
187,3,sa,0
189,3,sa,0
191,3,sa,0
193,3,sa,0
195,3,sa,0
197,3,sa,0
199,3,sa,0
201,3,sa,0
203,3,sa,0
205,3,sa,0
207,3,sa,0
209,3,sa,0
211,3,sa,0
213,3,sa,0
215,3,sa,0
217,3,sa,0
219,3,sa,0
221,3,sa,0
223,3,sa,0
225,3,sa,0
227,3,sa,0
229,3,sa,0
31,5,sa,0
0,0,RESERVED,0
34,3,sa,0
483,4,mobile,0
43,3,sa,0
27,5,sa,0
485,4,mobile,0
45,3,sa,0
47,3,sa,0
49,3,sa,0
51,3,sa,0
53,3,sa,0
55,3,sa,0
57,3,sa,0
59,3,sa,0
61,3,sa,0
63,3,sa,0
65,3,sa,0
66,3,sa,0
69,3,sa,0
71,3,sa,0
487,4,mobile,0
75,3,sa,0
77,3,sa,0
79,3,sa,0
