AnswerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,lock
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,elia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
111,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,a,a,a,a,a,a,a,,,Electric Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Zulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Xhosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,a,a,a,a,a,a,a,,,Dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
70,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
88,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
230,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
232,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
100,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
234,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103,a,a,a,a,a,a,a,,,Snackwitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,a,a,a,a,a,a,a,,,Toaster   Hairdryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
115,a,a,a,a,a,a,a,,,Toaster   Hairdryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,a,a,a,a,a,a,a,,,Toaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
169,Kittie De Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,a,a,a,a,a,a,a,,,Tape/Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
129,a,a,a,a,a,a,a,,,Toaster / Handmixer / Snackwitch / Frying pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
131,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
133,a,a,a,a,a,a,a,,,Urn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,a,a,a,a,a,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,a,a,a,a,a,a,a,,,Snackwitch  /  Hairdryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
171,Denise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
