ContextID,GroupID,Dom_NonDom,Survey,Year,Location,LocName,Lat,Long,Province,Municipality,District
2,21,Domestic LR,Eskom LR,2000,2000 Garagapola,Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
2,23,Domestic LR,Eskom LR,2000,2000 Gasese,Gasese,-27.11,23.05,NC,Joe Morolong,John Taolo Gaetsewe
2,25,Domestic LR,Eskom LR,2000,2000 Antioch,Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
2,20,Domestic LR,Eskom LR,2000,2000 Makipsvlei,Makipsvlei,-24.92,29.04,LIM,Ephraim Mogale,Sekhukhune
2,22,Domestic LR,Eskom LR,2000,2000 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
2,24,Domestic LR,Eskom LR,2000,2000 Qumbu,Qumbu,-31.19,28.87,EC,Mhlontlo,O.R.Tambo
2,28,Domestic LR,Eskom LR,2000,2000 Mafefe,Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
4,77,Domestic LR,Eskom LR,1999,1999 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
4,79,Domestic LR,Eskom LR,1999,1999 Makipsvlei,Makipsvlei,-24.92,29.04,LIM,Ephraim Mogale,Sekhukhune
4,81,Domestic LR,Eskom LR,1999,1999 Antioch,Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
4,83,Domestic LR,Eskom LR,1999,1999 Gasese,Gasese,-27.11,23.05,NC,Joe Morolong,John Taolo Gaetsewe
4,84,Domestic LR,Eskom LR,1999,1999 Mafefe,Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
4,78,Domestic LR,Eskom LR,1999,1999 Qumbu,Qumbu,-31.19,28.87,EC,Mhlontlo,O.R.Tambo
4,80,Domestic LR,Eskom LR,1999,1999 Ivory Park,Ivory Park,-25.994387,28.197012,GP,City of Johannesburg,City of Johannesburg
4,82,Domestic LR,Eskom LR,1999,1999 Garagapola,Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
4,57,Domestic LR,Eskom LR,1998,1998 Ivory Park,Ivory Park,-25.994387,28.197012,GP,City of Johannesburg,City of Johannesburg
4,58,Domestic LR,Eskom LR,1998,1998 Mafefe,Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
4,59,Domestic LR,Eskom LR,1998,1998 Makipsvlei,Makipsvlei,-24.92,29.04,LIM,Ephraim Mogale,Sekhukhune
4,61,Domestic LR,Eskom LR,1998,1998 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
4,60,Domestic LR,Eskom LR,1997,1997 Makipsvlei,Makipsvlei,-24.92,29.04,LIM,Ephraim Mogale,Sekhukhune
4,62,Domestic LR,Eskom LR,1997,1997 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
0,1000100,Domestic LR,Eskom LR,1997,New Group,Group,,,,,
0,1000101,Domestic LR,Eskom LR,1997,New Group,Group,,,,,
2,101,Domestic LR,Eskom LR,2001,2001 Gasese,Gasese,-27.11,23.05,NC,Joe Morolong,John Taolo Gaetsewe
2,103,Domestic LR,Eskom LR,2001,2001 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
2,98,Domestic LR,Eskom LR,2001,2001 Garagapola,Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
2,100,Domestic LR,Eskom LR,2001,2001 Antioch,Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
2,102,Domestic LR,Eskom LR,2001,2001 Mafefe,Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
2,104,Domestic LR,Eskom LR,2001,2001 Mfazazane,Mfazazane,-30.55,30.55,KZN,Ray Nkonyeni,Ugu
2,114,Domestic LR,Eskom LR,2002,2002 Garagapola,Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
2,116,Domestic LR,Eskom LR,2002,2002 Mafefe,Mafefe,-24.16,30.1,LIM,Lepele-Nkumpi,Capricorn
2,118,Domestic LR,Eskom LR,2002,2002 Tambo,Tambo,-32.13,26.81,EC,Enoch Mgijima,Chris Hani
2,2000002,Domestic LR,Eskom LR,2002,2002 Matshana,Matshana,-28.75,31.85,KZN,uMhlathuze,Uthungulu
2,2000003,Domestic LR,Eskom LR,2002,2002 Maconqo,Maconqo,-29.57,30.55,KZN,Mkhambathini,Umgungundlovu
2,1000005,Domestic LR,Eskom LR,2002,2002 Ikgomotseng,Ikgomotseng,-28.73,26.1,FS,Mangaung,Mangaung
2,113,Domestic LR,Eskom LR,2002,2002 Antioch,Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
2,115,Domestic LR,Eskom LR,2002,2002 Gasese,Gasese,-27.11,23.05,NC,Joe Morolong,John Taolo Gaetsewe
2,117,Domestic LR,Eskom LR,2002,2002 Mfazazane,Mfazazane,-30.55,30.55,KZN,Ray Nkonyeni,Ugu
2,1000007,Domestic LR,Eskom LR,2003,2003 Antioch,Antioch,-30.09,29.81,KZN,Umzimkhulu,Sisonke
2,1000008,Domestic LR,Eskom LR,2003,2003 Garagapola,Garagapola,-24.56,30.16,LIM,Greater Tubatse/Fetakgomo,Sekhukhune
