QCID,QuestionaireID,QuestionID,Lower,Upper,AllowNull,LookupQuestionID,lock
1,1,1,1.0,1.0,True,1,0
2,4,1,1.0,50.0,True,2,0
3,3,7,0.0,100.0,False,2,0
5,3,219,0.0,1.0,False,1,0
7,3,215,0.0,1.0,False,2,0
9,3,217,0.0,1.0,False,2,0
11,3,216,0.0,1.0,False,2,0
13,3,218,0.0,1.0,False,2,0
20,3,139,0.0,1.0,True,2,0
22,3,155,0.0,10.0,True,2,0
19,3,128,0.0,10.0,True,2,0
24,3,120,0.0,10.0,True,2,0
27,3,135,0.0,1.0,True,2,0
29,3,151,0.0,10.0,True,2,0
31,3,122,0.0,10.0,True,2,0
33,3,137,0.0,1.0,True,2,0
35,3,153,0.0,10.0,True,2,0
37,3,146,0.0,1.0,True,2,0
39,3,162,0.0,10.0,True,2,0
41,3,117,0.0,10.0,True,2,0
43,3,134,0.0,1.0,True,2,0
45,3,150,0.0,10.0,True,2,0
47,3,131,0.0,10.0,True,2,0
49,3,125,0.0,10.0,True,2,0
51,3,124,0.0,10.0,True,2,0
53,3,113,0.0,1.0,False,2,0
55,3,202,0.0,50.0,True,2,0
57,3,203,0.0,50.0,True,2,0
59,3,204,0.0,50.0,True,2,0
61,3,198,0.0,50.0,True,2,0
63,3,211,0.0,50.0,True,2,0
65,3,212,0.0,50.0,True,2,0
67,3,213,0.0,50.0,True,2,0
69,3,208,0.0,50.0,True,2,0
71,3,197,0.0,50.0,True,2,0
73,3,43,0.0,1.0,True,2,0
75,3,41,0.0,1.0,True,2,0
77,3,45,0.0,1.0,True,2,0
79,3,47,0.0,1.0,True,2,0
81,3,49,0.0,1.0,True,2,0
83,3,51,0.0,1.0,True,2,0
85,3,54,0.0,1.0,True,2,0
87,3,71,0.0,10.0,True,2,0
89,3,69,0.0,10.0,True,2,0
91,3,73,0.0,10.0,True,2,0
93,3,75,0.0,10.0,True,2,0
95,3,77,0.0,10.0,True,2,0
97,3,79,0.0,10.0,True,2,0
99,3,82,0.0,10.0,True,2,0
101,3,57,0.0,1.0,True,2,0
103,3,55,0.0,1.0,True,2,0
105,3,59,0.0,1.0,True,2,0
107,3,61,0.0,1.0,True,2,0
109,3,63,0.0,1.0,True,2,0
111,3,65,0.0,1.0,True,2,0
113,3,68,0.0,1.0,True,2,0
115,3,85,0.0,10.0,True,2,0
117,3,83,0.0,10.0,True,2,0
119,3,87,0.0,10.0,True,2,0
121,3,89,0.0,10.0,True,2,0
123,3,91,0.0,10.0,True,2,0
125,3,93,0.0,10.0,True,2,0
127,3,96,0.0,10.0,True,2,0
129,3,22,0.0,1.0,True,2,0
131,3,25,0.0,1.0,True,2,0
133,3,31,0.0,10.0,True,2,0
135,3,34,0.0,10.0,True,2,0
137,3,33,0.0,10.0,True,2,0
139,3,27,0.0,1.0,True,2,0
141,3,30,0.0,1.0,True,2,0
143,3,36,0.0,10.0,True,2,0
145,3,39,0.0,10.0,True,2,0
