QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
1,1,How many?,3,1,HowMany                                                                                                                                                                                                                                                        ,0
3,1,What is it?,2,1,WhatIsIT                                                                                                                                                                                                                                                       ,0
2,1,How many more? ,3,2,HowManyMore                                                                                                                                                                                                                                                    ,0
1,2,Schalk,2,1,Schalk                                                                                                                                                                                                                                                         ,0
4,1,How big is it?,3,3,Big                                                                                                                                                                                                                                                            ,0
6,1,Something,3,4,Something                                                                                                                                                                                                                                                      ,0
1,4,InterviewerNo,3,1,InterviewerNo                                                                                                                                                                                                                                                  ,0
1,3,Name of head/household,2,1,HouseHeadName                                                                                                                                                                                                                                                  ,0
3,3,Work Telephone Number,2,3,WorkNumber                                                                                                                                                                                                                                                     ,0
5,3,Neighbour's telephone Number,2,5,NeighbourNumber                                                                                                                                                                                                                                                ,0
7,3,How long have you been staying here in this house?,3,1,OccupationYears                                                                                                                                                                                                                                                ,0
9,3,StandNo,2,7,StandNo                                                                                                                                                                                                                                                        ,0
10,3,Interviewer,3,2,InterviewerID                                                                                                                                                                                                                                                  ,0
12,3,Number of males: <16,3,4,MalesYoungerThan16                                                                                                                                                                                                                                             ,0
13,3,Number of males: 16-24,3,5,Males16To24                                                                                                                                                                                                                                                    ,0
14,3,Number of males: 25 - 34,3,6,Males25To34                                                                                                                                                                                                                                                    ,0
15,3,Number of males: 35-49,3,7,Males35To49                                                                                                                                                                                                                                                    ,0
16,3,Number of males: 50+,3,8,MalesOlderThan50                                                                                                                                                                                                                                               ,0
17,3,Number of females: <16,3,9,FemalesYoungerThan16                                                                                                                                                                                                                                           ,0
18,3,Number of females: 25-34,3,10,Females25To34                                                                                                                                                                                                                                                  ,0
19,3,Number of females: 35 - 49,3,11,Females35To49                                                                                                                                                                                                                                                  ,0
20,3,Number of femals: 50+,3,12,FemalesOlder50                                                                                                                                                                                                                                                 ,0
21,3,Head full time employed,3,13,EmployHeadFull                                                                                                                                                                                                                                                 ,0
22,3,Head emploed part time,3,14,EmployHeadPartTime                                                                                                                                                                                                                                             ,0
23,3,Head unemployed,3,15,EmployHeadUnEmployed                                                                                                                                                                                                                                           ,0
24,3,Head on pension,3,16,EmployHeadPension                                                                                                                                                                                                                                              ,0
2,2,Heunisgfhdfg,3,1,Heunis                                                                                                                                                                                                                                                         ,0
5,1,Tell me a story,1,1,Story                                                                                                                                                                                                                                                          ,0
2,4,Interviewer Name,2,1,InterviewerName                                                                                                                                                                                                                                                ,0
2,3,Name of respondent,2,2,RespondantsName                                                                                                                                                                                                                                                ,0
4,3,Home Telephone number,2,4,HomeNumber                                                                                                                                                                                                                                                     ,0
6,3,Cell phone number,2,6,CellNumber                                                                                                                                                                                                                                                     ,0
8,3,Address,1,1,Address                                                                                                                                                                                                                                                        ,0
11,3,Language,3,3,LanguageID                                                                                                                                                                                                                                                     ,0
25,3,Head self employed,3,17,EmployHeadSelf                                                                                                                                                                                                                                                 ,0
52,3,EducHeadStd 9,3,44,EducHeadStd9                                                                                                                                                                                                                                                   ,0
79,3,EducOlder16Std 8,3,71,EducOlder16Std8                                                                                                                                                                                                                                                ,0
133,3,ApplianceStove3plateBroken,3,125,ApplianceStove3plateBroken                                                                                                                                                                                                                                     ,0
162,3,ApplianceMicrowaveUsage,3,154,ApplianceMicrowaveUsage                                                                                                                                                                                                                                        ,0
163,3,ApplianceTumbleDrierUsage,3,155,ApplianceTumbleDrierUsage                                                                                                                                                                                                                                      ,0
164,3,ApplianceOtherUsage,3,156,ApplianceOtherUsage                                                                                                                                                                                                                                            ,0
244,3,IncomeRefused,3,233,IncomeRefuse                                                                                                                                                                                                                                                   ,0
197,3,CookAdultsWeekDayBreakFast,3,189,CookAdultsWeekDayBreakFast                                                                                                                                                                                                                                     ,0
26,3,Spouse full time employed,3,18,EmploySpouseFull                                                                                                                                                                                                                                               ,0
27,3,Spouse employed part time,3,19,EmploySpousePart                                                                                                                                                                                                                                               ,0
28,3,Spouse unemployed,3,20,EmploySpouseUnemployed                                                                                                                                                                                                                                         ,0
29,3,Spouse on pension,3,21,EmploySpousePension                                                                                                                                                                                                                                            ,0
30,3,Spouse self employed,3,22,EmploySpouseSelf                                                                                                                                                                                                                                               ,0
31,3,Persons older than 16 years: Employed fulltime,3,23,EmployOlder16Full                                                                                                                                                                                                                                              ,0
32,3,Persons older than 16 years: Employed parttime,3,24,EmployOlder16part                                                                                                                                                                                                                                              ,0
33,3,Persons older than 16 years: Employed unemployed,3,25,EmployOlder16Unemployed                                                                                                                                                                                                                                        ,0
34,3,Persons older than 16 years: Pension,3,26,EmployOlder16Pension                                                                                                                                                                                                                                           ,0
35,3,Persons older than 16 years: Self employed ,3,27,EmployOlder16Self                                                                                                                                                                                                                                              ,0
36,3,Persons younger than 16 years: Employed fulltime,3,28,EmployUnder16Full                                                                                                                                                                                                                                              ,0
