RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
BTW001,ERID-000BTW001,4,2012-01-01,2013-01-10,1000119,0
BTW001,ERID-000BTW001,4,2012-09-01,2014-01-10,1000130,0
BTW001,ERID-000BTW001,4,2014-01-01,2015-01-10,1000144,1
BTW002,ERID-000BTW002,4,2012-01-01,2013-01-10,1000119,0
BTW002,ERID-000BTW002,4,2012-09-01,2014-01-10,1000130,0
BTW002,ERID-000BTW002,4,2014-01-01,2015-01-10,1000144,1
BTW003,ERID-000BTW003,4,2012-01-01,2013-01-10,1000119,0
BTW003,ERID-000BTW003,4,2012-09-01,2014-01-10,1000130,0
BTW003,ERID-000BTW003,4,2014-01-01,2015-01-10,1000144,1
BTW004,ERID-000BTW004,4,2012-01-01,2013-01-10,1000119,0
BTW004,ERID-000BTW004,4,2012-09-01,2014-01-10,1000130,0
BTW004,ERID-000BTW004,4,2014-01-01,2015-01-10,1000144,1
BTW005,ERID-000BTW005,4,2012-01-01,2013-01-10,1000119,0
BTW005,ERID-000BTW005,4,2012-09-01,2014-01-10,1000130,0
BTW005,ERID-000BTW005,4,2014-01-01,2015-01-10,1000144,1
BTW006,ERID-000BTW006,4,2012-01-01,2013-01-10,1000119,0
BTW006,ERID-000BTW006,4,2012-09-01,2014-01-10,1000130,0
BTW006,ERID-000BTW006,4,2014-01-01,2015-01-10,1000144,1
BTW007,ERID-000BTW007,4,2012-01-01,2013-01-10,1000119,0
BTW007,ERID-000BTW007,4,2012-09-01,2014-01-10,1000130,0
BTW007,ERID-000BTW007,4,2014-01-01,2015-01-10,1000144,1
BTW008,ERID-000BTW008,4,2012-01-01,2013-01-10,1000119,0
BTW008,ERID-000BTW008,4,2012-09-01,2014-01-10,1000130,0
BTW008,ERID-000BTW008,4,2014-01-01,2015-01-10,1000144,1
BTW009,ERID-000BTW009,4,2012-01-01,2013-01-10,1000119,0
BTW009,ERID-000BTW009,4,2012-09-01,2014-01-10,1000130,0
BTW009,ERID-000BTW009,4,2014-01-01,2015-01-10,1000144,1
BTW010,ERID-000BTW010,4,2012-01-01,2012-12-31,1000119,0
BTW010,ERID-000BTW010,4,2012-09-01,2014-01-10,1000130,0
BTW010,ERID-000BTW010,4,2014-01-01,2015-01-10,1000144,1
BTW011,ERID-000BTW011,4,2012-01-01,2013-01-10,1000119,0
BTW011,ERID-000BTW011,4,2012-09-01,2014-01-10,1000130,0
BTW011,ERID-000BTW011,4,2014-01-01,2015-01-10,1000144,1
BTW012,ERID-000BTW012,4,2012-01-01,2013-01-10,1000119,0
BTW012,ERID-000BTW012,4,2012-09-01,2014-01-10,1000130,0
BTW012,ERID-000BTW012,4,2014-01-01,2015-01-10,1000144,1
BTW013,ERID-000BTW013,4,2012-01-01,2013-01-10,1000119,0
BTW013,ERID-000BTW013,4,2012-09-01,2014-01-10,1000130,0
BTW013,ERID-000BTW013,4,2014-01-01,2015-01-10,1000144,1
BTW014,ERID-000BTW014,4,2012-01-01,2013-01-10,1000119,0
BTW014,ERID-000BTW014,4,2012-09-01,2014-01-10,1000130,0
BTW014,ERID-000BTW014,4,2014-01-01,2015-01-10,1000144,1
BTW015,ERID-000BTW015,4,2012-01-01,2013-01-10,1000119,0
BTW015,ERID-000BTW015,4,2012-09-01,2014-01-10,1000130,0
BTW015,ERID-000BTW015,4,2014-01-01,2015-01-10,1000144,1
BTW016,ERID-000BTW016,4,2012-01-01,2013-01-10,1000119,0
BTW016,ERID-000BTW016,4,2012-09-01,2014-01-10,1000130,0
BTW016,ERID-000BTW016,4,2014-01-01,2015-01-10,1000144,1
BTW017,ERID-000BTW017,4,2012-01-01,2013-01-10,1000119,0
BTW017,ERID-000BTW017,4,2012-09-01,2014-01-10,1000130,0
